epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,761.725,1.672,0.45763,0.95763,1.60995,0.000255283,0.000255283,0.000255283
2,1527.34,1.00272,0.55085,0.95763,1.40448,0.000439259,0.000439259,0.000439259
3,2271.3,0.82906,0.63559,0.95763,1.43151,0.000550729,0.000550729,0.000550729
4,3000.87,0.68192,0.5678,0.95763,1.87492,0.000442724,0.000442724,0.000442724
5,3743.95,0.5599,0.61017,0.94915,1.60442,0.000333966,0.000333966,0.000333966
6,4494.97,0.44546,0.61864,0.94915,1.57517,0.000225207,0.000225207,0.000225207
7,5243.95,0.39088,0.63559,0.94068,1.6112,0.000116449,0.000116449,0.000116449
