epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,435.867,1.55035,0.45763,0.86441,1.96358,0.000255283,0.000255283,0.000255283
2,869.736,1.07736,0.4661,0.94915,1.75481,0.000460966,0.000460966,0.000460966
3,1291.52,1.01305,0.45763,0.91525,2.19932,0.000615895,0.000615895,0.000615895
4,1728.88,0.93895,0.55085,0.95763,1.72197,0.000540607,0.000540607,0.000540607
5,2167.02,0.82292,0.51695,0.9322,1.93497,0.000464476,0.000464476,0.000464476
6,2597.72,0.71093,0.54237,0.92373,1.82905,0.000388345,0.000388345,0.000388345
7,3032.82,0.61367,0.52542,0.94068,1.76867,0.000312214,0.000312214,0.000312214
8,3467.08,0.52014,0.55932,0.95763,1.70405,0.000236083,0.000236083,0.000236083
9,3907.1,0.44568,0.59322,0.95763,1.75624,0.000159952,0.000159952,0.000159952
10,4340.25,0.40543,0.5678,0.94068,1.7164,8.3821e-05,8.3821e-05,8.3821e-05
