epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,200.699,1.72761,0.41525,0.92373,1.66564,0.000255283,0.000255283,0.000255283
2,459.949,1.19519,0.49153,0.89831,1.63188,0.000448304,0.000448304,0.000448304
3,732.151,1.03431,0.5339,0.90678,1.81761,0.000577882,0.000577882,0.000577882
4,1000.17,0.92521,0.50847,0.92373,1.76936,0.000483509,0.000483509,0.000483509
5,1289.14,0.84326,0.51695,0.97458,1.54226,0.000388345,0.000388345,0.000388345
6,1559.37,0.74119,0.55085,0.9661,1.64175,0.000293181,0.000293181,0.000293181
7,1841.89,0.70018,0.55932,0.95763,1.36087,0.000198018,0.000198018,0.000198018
8,2110.53,0.6379,0.55932,0.95763,1.51426,0.000102854,0.000102854,0.000102854
