epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1018.14,1.56226,0.44068,0.89831,1.80514,0.000255283,0.000255283,0.000255283
2,2024.86,1.07277,0.48305,0.90678,1.69111,0.000460966,0.000460966,0.000460966
3,3036.26,1.02325,0.57627,0.9322,1.60774,0.000615895,0.000615895,0.000615895
4,4023.9,0.95749,0.54237,0.94068,1.4743,0.000540607,0.000540607,0.000540607
5,5023.06,0.84346,0.58475,0.94915,1.57398,0.000464476,0.000464476,0.000464476
6,6040.82,0.69666,0.62712,0.97458,1.4074,0.000388345,0.000388345,0.000388345
7,7031.52,0.63054,0.57627,0.9322,1.69645,0.000312214,0.000312214,0.000312214
8,8047.91,0.509,0.61017,0.95763,1.66741,0.000236083,0.000236083,0.000236083
9,9072,0.43925,0.61017,0.95763,1.59245,0.000159952,0.000159952,0.000159952
10,10094.8,0.37503,0.61017,0.9661,1.70065,8.3821e-05,8.3821e-05,8.3821e-05
